,configuration,functional,basis,13c_ch2,13c_ch3,1h_ch2,1h_ch3
0,1,B3LYP,6-31+G*,119.915,129.27,28.082,28.228
1,2,B3LYP,6-31+G*,120.05,129.823,28.134,28.23
2,3,B3LYP,6-31+G*,120.454,130.8,28.007,28.186
3,4,B3LYP,6-31+G*,118.828,129.271,28.011,28.168
4,5,B3LYP,6-31+G*,120.079,130.209,28.099,28.178
5,6,B3LYP,6-31+G*,119.751,130.285,28.166,28.378
6,1,B3LYP,6-311++G**,108.647,119.617,27.878,28.063
7,2,B3LYP,6-311++G**,109.07,120.519,27.951,28.089
8,3,B3LYP,6-311++G**,109.183,119.917,27.723,28.192
9,4,B3LYP,6-311++G**,107.805,118.9,27.831,27.983
10,5,B3LYP,6-311++G**,110.485,119.472,27.969,27.999
11,6,B3LYP,6-311++G**,108.636,120.105,27.923,28.241
12,1,B3LYP,Def2TZVP,108.171,119.065,27.9,28.126
13,2,B3LYP,Def2TZVP,107.987,119.829,27.909,28.137
14,3,B3LYP,Def2TZVP,108.238,119.359,27.856,28.088
15,4,B3LYP,Def2TZVP,106.922,118.612,27.79,28.051
16,5,B3LYP,Def2TZVP,108.864,119.054,27.992,28.086
17,6,B3LYP,Def2TZVP,108.26,119.53,27.884,28.078
18,1,PBE1PBE,6-31+G*,125.85,134.389,28.023,28.179
19,2,PBE1PBE,6-31+G*,125.864,135.199,28.046,28.242
20,3,PBE1PBE,6-31+G*,126.483,135.607,27.991,28.114
21,4,PBE1PBE,6-31+G*,125.073,134.509,27.968,28.136
22,5,PBE1PBE,6-31+G*,127.137,135.808,28.196,28.304
23,6,PBE1PBE,6-31+G*,125.5,135.262,28.102,28.286
24,1,PBE1PBE,6-311++G**,116.244,126.23,27.782,27.92
25,2,PBE1PBE,6-311++G**,116.215,126.932,27.797,27.977
26,3,PBE1PBE,6-311++G**,116.81,126.734,27.669,28.035
27,4,PBE1PBE,6-311++G**,115.342,125.96,27.715,27.899
28,5,PBE1PBE,6-311++G**,117.106,127.747,27.841,28.124
29,6,PBE1PBE,6-311++G**,116.638,126.848,27.883,28.085
30,1,PBE1PBE,Def2TZVP,115.063,125.332,27.792,28.011
31,2,PBE1PBE,Def2TZVP,114.925,125.806,27.806,28.021
32,3,PBE1PBE,Def2TZVP,115.181,125.651,27.734,27.954
33,4,PBE1PBE,Def2TZVP,114.297,124.901,27.693,27.944
34,5,PBE1PBE,Def2TZVP,115.855,126.231,27.764,28.071
35,6,PBE1PBE,Def2TZVP,115.341,125.739,27.8,27.974
36,1,M062X,6-31+G*,123.516,133.457,28.191,28.251
37,2,M062X,6-31+G*,124.296,133.466,28.209,28.384
38,3,M062X,6-31+G*,124.168,133.658,28.217,28.258
39,4,M062X,6-31+G*,123.499,133.132,28.232,28.242
40,5,M062X,6-31+G*,125.398,134.089,28.254,28.428
41,6,M062X,6-31+G*,123.187,134.292,27.915,28.396
42,1,M062X,6-311++G**,113.838,123.755,28.0,28.073
43,2,M062X,6-311++G**,113.218,125.622,27.985,28.348
44,3,M062X,6-311++G**,115.003,124.047,27.865,27.888
45,4,M062X,6-311++G**,112.726,123.948,28.103,28.129
46,5,M062X,6-311++G**,115.601,126.635,27.861,28.129
47,6,M062X,6-311++G**,113.586,125.931,28.071,28.147
48,1,M062X,Def2TZVP,111.741,122.35,28.058,28.232
49,2,M062X,Def2TZVP,111.92,122.753,28.093,28.184
50,3,M062X,Def2TZVP,112.535,122.819,28.025,28.148
51,4,M062X,Def2TZVP,111.253,122.258,27.977,28.156
52,5,M062X,Def2TZVP,113.429,120.983,28.199,28.16
53,6,M062X,Def2TZVP,112.364,123.101,28.006,28.165
54,1,wB97X,6-31+G*,128.269,136.836,28.071,28.214
55,2,wB97X,6-31+G*,128.163,136.796,28.187,28.213
56,3,wB97X,6-31+G*,128.767,137.582,28.025,28.179
57,4,wB97X,6-31+G*,127.729,137.262,28.073,28.194
58,5,wB97X,6-31+G*,129.254,137.144,28.127,28.241
59,6,wB97X,6-31+G*,127.797,137.623,28.125,28.263
60,1,wB97X,6-311++G**,119.197,128.97,27.805,28.009
61,2,wB97X,6-311++G**,119.276,129.649,27.897,28.107
62,3,wB97X,6-311++G**,119.905,129.779,27.75,27.934
63,4,wB97X,6-311++G**,118.562,128.554,27.82,28.003
64,5,wB97X,6-311++G**,119.649,130.301,27.79,28.094
65,6,wB97X,6-311++G**,119.762,129.167,28.028,28.043
66,1,wB97X,Def2TZVP,117.407,127.324,27.909,28.09
67,2,wB97X,Def2TZVP,117.528,127.846,27.912,28.093
68,3,wB97X,Def2TZVP,117.871,128.387,27.902,28.002
69,4,wB97X,Def2TZVP,116.663,127.3,27.828,28.04
70,5,wB97X,Def2TZVP,118.175,127.455,27.943,28.088
71,6,wB97X,Def2TZVP,117.35,127.51,27.962,28.031
