,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
0,1,B3LYP,6-31+G*,1,1,68.49,68.49,55.142,55.142,6.874,6.874,6.792,6.792
1,1,B3LYP,6-31+G*,1,2,68.49,68.49,55.142,55.142,5.974,6.436,5.892,6.354
2,1,B3LYP,6-31+G*,1,3,68.49,68.49,55.142,55.142,5.208,5.22,5.126,5.138
3,1,B3LYP,6-31+G*,1,4,68.49,68.49,55.142,55.142,5.115,6.028,5.033,5.946
4,1,B3LYP,6-31+G*,1,6,68.49,68.49,55.142,55.142,4.183,4.854,4.101,4.772
5,1,B3LYP,6-31+G*,1,8,68.49,68.49,55.142,55.142,4.344,5.929,4.262,5.847
6,1,B3LYP,6-31+G*,1,10,68.49,68.49,55.142,55.142,4.306,5.846,4.224,5.764
7,1,B3LYP,6-31+G*,1,12,68.49,68.49,55.142,55.142,3.955,5.84,3.873,5.758
8,1,B3LYP,6-31+G*,2,1,68.82,68.971,55.472,55.623,6.874,6.874,6.792,6.792
9,1,B3LYP,6-31+G*,2,2,68.82,68.971,55.472,55.623,5.974,6.436,5.892,6.354
10,1,B3LYP,6-31+G*,2,3,68.82,68.971,55.472,55.623,5.208,5.22,5.126,5.138
11,1,B3LYP,6-31+G*,2,4,68.82,68.971,55.472,55.623,5.115,6.028,5.033,5.946
12,1,B3LYP,6-31+G*,2,6,68.82,68.971,55.472,55.623,4.183,4.854,4.101,4.772
13,1,B3LYP,6-31+G*,2,8,68.82,68.971,55.472,55.623,4.344,5.929,4.262,5.847
14,1,B3LYP,6-31+G*,2,10,68.82,68.971,55.472,55.623,4.306,5.846,4.224,5.764
15,1,B3LYP,6-31+G*,2,12,68.82,68.971,55.472,55.623,3.955,5.84,3.873,5.758
16,1,B3LYP,6-31+G*,3,1,68.694,69.463,55.346,56.115,6.874,6.874,6.792,6.792
17,1,B3LYP,6-31+G*,3,2,68.694,69.463,55.346,56.115,5.974,6.436,5.892,6.354
18,1,B3LYP,6-31+G*,3,3,68.694,69.463,55.346,56.115,5.208,5.22,5.126,5.138
19,1,B3LYP,6-31+G*,3,4,68.694,69.463,55.346,56.115,5.115,6.028,5.033,5.946
20,1,B3LYP,6-31+G*,3,6,68.694,69.463,55.346,56.115,4.183,4.854,4.101,4.772
21,1,B3LYP,6-31+G*,3,8,68.694,69.463,55.346,56.115,4.344,5.929,4.262,5.847
22,1,B3LYP,6-31+G*,3,10,68.694,69.463,55.346,56.115,4.306,5.846,4.224,5.764
23,1,B3LYP,6-31+G*,3,12,68.694,69.463,55.346,56.115,3.955,5.84,3.873,5.758
24,1,B3LYP,6-31+G*,4,1,69.307,70.687,55.959,57.339,6.874,6.874,6.792,6.792
25,1,B3LYP,6-31+G*,4,2,69.307,70.687,55.959,57.339,5.974,6.436,5.892,6.354
26,1,B3LYP,6-31+G*,4,3,69.307,70.687,55.959,57.339,5.208,5.22,5.126,5.138
27,1,B3LYP,6-31+G*,4,4,69.307,70.687,55.959,57.339,5.115,6.028,5.033,5.946
28,1,B3LYP,6-31+G*,4,6,69.307,70.687,55.959,57.339,4.183,4.854,4.101,4.772
29,1,B3LYP,6-31+G*,4,8,69.307,70.687,55.959,57.339,4.344,5.929,4.262,5.847
