,n,functional,basis,avg_tensor,max_tensor
0,1,B3LYP,6-31+G*,147.288,147.288
1,2,B3LYP,6-31+G*,147.618,147.769
2,3,B3LYP,6-31+G*,147.492,148.261
3,4,B3LYP,6-31+G*,148.105,149.485
4,6,B3LYP,6-31+G*,148.402,150.116
5,1,B3LYP,6-311++G**,138.2,138.2
6,2,B3LYP,6-311++G**,138.553,138.675
7,3,B3LYP,6-311++G**,138.351,138.584
8,4,B3LYP,6-311++G**,138.675,140.169
9,6,B3LYP,6-311++G**,138.789,140.972
10,1,B3LYP,Def2TZVP,138.432,138.432
11,2,B3LYP,Def2TZVP,139.994,141.098
12,3,B3LYP,Def2TZVP,138.887,139.706
13,4,B3LYP,Def2TZVP,138.757,140.264
14,6,B3LYP,Def2TZVP,139.798,141.015
15,1,M062X,6-31+G*,152.251,152.251
16,2,M062X,6-31+G*,152.211,152.401
17,3,M062X,6-31+G*,152.863,153.336
18,4,M062X,6-31+G*,152.537,152.882
19,6,M062X,6-31+G*,151.816,154.348
20,1,M062X,6-311++G**,143.262,143.262
21,2,M062X,6-311++G**,143.253,143.493
22,3,M062X,6-311++G**,143.506,143.688
23,4,M062X,6-311++G**,142.833,143.959
24,6,M062X,6-311++G**,142.701,145.525
25,1,M062X,Def2TZVP,141.867,141.867
26,2,M062X,Def2TZVP,142.461,142.501
27,3,M062X,Def2TZVP,142.417,142.879
28,4,M062X,Def2TZVP,141.728,143.49
29,6,M062X,Def2TZVP,141.832,144.078
30,1,PBE1PBE,6-31+G*,154.171,154.171
31,2,PBE1PBE,6-31+G*,154.332,154.495
32,3,PBE1PBE,6-31+G*,154.886,155.067
33,4,PBE1PBE,6-31+G*,154.619,155.349
34,6,PBE1PBE,6-31+G*,155.126,156.652
35,1,PBE1PBE,6-311++G**,146.333,146.333
36,2,PBE1PBE,6-311++G**,146.618,146.762
37,3,PBE1PBE,6-311++G**,147.565,149.043
38,4,PBE1PBE,6-311++G**,146.228,147.708
39,6,PBE1PBE,6-311++G**,146.943,148.701
40,1,PBE1PBE,Def2TZVP,145.703,145.703
41,2,PBE1PBE,Def2TZVP,146.967,147.911
42,3,PBE1PBE,Def2TZVP,146.282,146.772
43,4,PBE1PBE,Def2TZVP,145.758,146.715
44,6,PBE1PBE,Def2TZVP,146.781,147.822
45,1,wB97X,6-31+G*,157.411,157.411
46,2,wB97X,6-31+G*,157.83,158.006
47,3,wB97X,6-31+G*,157.615,158.293
48,4,wB97X,6-31+G*,157.527,158.063
49,6,wB97X,6-31+G*,157.811,159.618
50,1,wB97X,6-311++G**,149.854,149.854
51,2,wB97X,6-311++G**,149.771,149.912
52,3,wB97X,6-311++G**,150.719,151.049
53,4,wB97X,6-311++G**,149.41,150.461
54,6,wB97X,6-311++G**,150.094,151.897
55,1,wB97X,Def2TZVP,148.388,148.388
56,2,wB97X,Def2TZVP,149.676,150.528
57,3,wB97X,Def2TZVP,148.605,149.276
58,4,wB97X,Def2TZVP,148.387,148.705
59,6,wB97X,Def2TZVP,149.188,150.357
