ppm	intensity
129.6561	215.9072
129.6404	84.4294
129.6246	116.9006
129.6089	-44.9605
129.5932	14.2831
129.5775	-13.3413
129.5618	27.2872
129.5461	-15.0965
129.5304	12.5287
129.5147	115.2323
129.499	-9.2489
129.4833	-23.9628
129.4676	129.1607
129.4519	111.1399
129.4362	144.7804
129.4205	-55.1723
129.4048	35.4065
129.3891	-58.4543
129.3733	61.3955
129.3576	146.6986
129.3419	84.093
129.3262	-64.6983
129.3105	-59.135
129.2948	57.1318
129.2791	7.3384
129.2634	-76.2741
129.2477	-32.1358
129.232	53.1056
129.2163	22.3844
129.2006	-15.0008
129.1849	106.9957
129.1692	-28.945
129.1535	-0.5188
129.1377	-24.8107
129.122	1.5719
129.1063	110.5445
129.0906	86.098
129.0749	-18.0286
129.0592	-26.6103
129.0435	117.7025
129.0278	65.4623
129.0121	45.7398
128.9964	44.7082
128.9807	135.1011
128.965	62.4715
128.9493	90.2409
128.9336	164.6069
128.9179	242.777
128.9021	147.3018
128.8864	18.6893
128.8707	13.0043
128.855	34.2217
128.8393	-160.1333
128.8236	-168.4478
128.8079	-12.299
128.7922	88.6884
128.7765	-31.43
128.7608	24.5859
128.7451	52.0131
128.7294	97.835
128.7137	56.9825
128.698	137.1266
128.6823	93.8146
128.6665	156.7206
128.6508	34.2033
128.6351	214.4475
128.6194	-7.9941
128.6037	8.3465
128.588	68.2776
128.5723	-63.9335
128.5566	94.2073
128.5409	-81.0643
128.5252	41.4667
128.5095	1.9673
128.4938	85.4402
128.4781	102.2707
128.4624	39.9229
128.4467	42.8824
128.431	59.2953
128.4153	-75.4866
128.3996	-24.7211
128.3839	-45.7668
128.3681	-23.7344
128.3524	-20.2721
128.3367	85.2896
128.321	107.2101
128.3053	14.6033
128.2896	118.426
128.2739	-60.5536
128.2582	-32.483
128.2425	-87.1645
128.2268	14.9357
128.2111	98.5386
128.1954	28.6796
128.1797	83.6714
128.164	-12.7191
128.1483	-143.2852
128.1325	121.2711
128.1168	102.5101
128.1011	87.4516
128.0854	-42.3664
128.0697	-103.8588
128.054	45.2254
128.0383	-25.9736
128.0226	142.4688
128.0069	-70.9796
127.9912	-99.9011
127.9755	-78.2273
127.9598	15.8178
127.9441	-9.4462
127.9284	-11.7155
127.9127	33.6848
127.8969	78.1292
127.8812	181.4774
127.8655	70.0951
127.8498	124.029
127.8341	104.7601
127.8184	133.6516
127.8027	83.7783
127.787	-26.2482
127.7713	-29.7397
127.7556	117.658
127.7399	104.1445
127.7242	74.2615
127.7085	-14.8047
127.6928	-68.2386
127.6771	-161.0132
127.6614	23.0338
127.6457	-51.7797
127.6299	100.5765
127.6142	50.3476
127.5985	25.4691
127.5828	78.6934
127.5671	-62.8802
127.5514	85.8245
127.5357	45.2314
127.52	93.4883
127.5043	40.8097
127.4886	20.2858
127.4729	-28.7155
127.4572	-102.0118
127.4415	-40.4558
127.4258	63.9687
127.4101	94.4559
127.3943	-85.8807
127.3786	-8.0964
127.3629	57.7671
127.3472	145.0805
127.3315	68.9434
127.3158	-56.8717
127.3001	59.2904
127.2844	-126.8011
127.2687	35.1719
127.253	78.1342
127.2373	110.9477
127.2216	-50.027
127.2059	-3.0055
127.1902	47.0729
127.1745	1.9823
127.1588	119.7504
127.1431	-55.5351
127.1273	0.3599
127.1116	-116.4781
127.0959	52.4524
127.0802	-60.5902
127.0645	108.1864
127.0488	99.078
127.0331	19.6332
127.0174	47.0614
127.0017	131.2843
126.986	-49.7247
