,configuration,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
0,1,B3LYP,6-31+G*,1,1,66.873,66.873,57.518,57.518,7.338,7.338,7.192,7.192
1,1,B3LYP,6-31+G*,1,2,66.873,66.873,57.518,57.518,6.438,6.9,6.292,6.754
2,1,B3LYP,6-31+G*,1,3,66.873,66.873,57.518,57.518,5.672,5.684,5.526,5.538
3,1,B3LYP,6-31+G*,1,4,66.873,66.873,57.518,57.518,5.579,6.492,5.433,6.346
4,1,B3LYP,6-31+G*,1,6,66.873,66.873,57.518,57.518,4.647,5.318,4.501,5.172
5,1,B3LYP,6-31+G*,1,8,66.873,66.873,57.518,57.518,4.808,6.393,4.662,6.247
6,1,B3LYP,6-31+G*,1,10,66.873,66.873,57.518,57.518,4.77,6.31,4.624,6.164
7,1,B3LYP,6-31+G*,1,12,66.873,66.873,57.518,57.518,4.419,6.304,4.273,6.158
8,1,B3LYP,6-31+G*,2,1,67.203,67.354,57.848,57.999,7.338,7.338,7.192,7.192
9,1,B3LYP,6-31+G*,2,2,67.203,67.354,57.848,57.999,6.438,6.9,6.292,6.754
10,1,B3LYP,6-31+G*,2,3,67.203,67.354,57.848,57.999,5.672,5.684,5.526,5.538
11,1,B3LYP,6-31+G*,2,4,67.203,67.354,57.848,57.999,5.579,6.492,5.433,6.346
12,1,B3LYP,6-31+G*,2,6,67.203,67.354,57.848,57.999,4.647,5.318,4.501,5.172
13,1,B3LYP,6-31+G*,2,8,67.203,67.354,57.848,57.999,4.808,6.393,4.662,6.247
14,1,B3LYP,6-31+G*,2,10,67.203,67.354,57.848,57.999,4.77,6.31,4.624,6.164
15,1,B3LYP,6-31+G*,2,12,67.203,67.354,57.848,57.999,4.419,6.304,4.273,6.158
16,1,B3LYP,6-31+G*,3,1,67.077,67.846,57.722,58.491,7.338,7.338,7.192,7.192
17,1,B3LYP,6-31+G*,3,2,67.077,67.846,57.722,58.491,6.438,6.9,6.292,6.754
18,1,B3LYP,6-31+G*,3,3,67.077,67.846,57.722,58.491,5.672,5.684,5.526,5.538
19,1,B3LYP,6-31+G*,3,4,67.077,67.846,57.722,58.491,5.579,6.492,5.433,6.346
20,1,B3LYP,6-31+G*,3,6,67.077,67.846,57.722,58.491,4.647,5.318,4.501,5.172
21,1,B3LYP,6-31+G*,3,8,67.077,67.846,57.722,58.491,4.808,6.393,4.662,6.247
22,1,B3LYP,6-31+G*,3,10,67.077,67.846,57.722,58.491,4.77,6.31,4.624,6.164
23,1,B3LYP,6-31+G*,3,12,67.077,67.846,57.722,58.491,4.419,6.304,4.273,6.158
24,1,B3LYP,6-31+G*,4,1,67.69,69.07,58.335,59.715,7.338,7.338,7.192,7.192
25,1,B3LYP,6-31+G*,4,2,67.69,69.07,58.335,59.715,6.438,6.9,6.292,6.754
26,1,B3LYP,6-31+G*,4,3,67.69,69.07,58.335,59.715,5.672,5.684,5.526,5.538
27,1,B3LYP,6-31+G*,4,4,67.69,69.07,58.335,59.715,5.579,6.492,5.433,6.346
28,1,B3LYP,6-31+G*,4,6,67.69,69.07,58.335,59.715,4.647,5.318,4.501,5.172
29,1,B3LYP,6-31+G*,4,8,67.69,69.07,58.335,59.715,4.808,6.393,4.662,6.247
30,1,B3LYP,6-31+G*,4,10,67.69,69.07,58.335,59.715,4.77,6.31,4.624,6.164
31,1,B3LYP,6-31+G*,4,12,67.69,69.07,58.335,59.715,4.419,6.304,4.273,6.158
32,1,B3LYP,6-31+G*,6,1,67.987,69.701,58.632,60.346,7.338,7.338,7.192,7.192
33,1,B3LYP,6-31+G*,6,2,67.987,69.701,58.632,60.346,6.438,6.9,6.292,6.754
34,1,B3LYP,6-31+G*,6,3,67.987,69.701,58.632,60.346,5.672,5.684,5.526,5.538
35,1,B3LYP,6-31+G*,6,4,67.987,69.701,58.632,60.346,5.579,6.492,5.433,6.346
36,1,B3LYP,6-31+G*,6,6,67.987,69.701,58.632,60.346,4.647,5.318,4.501,5.172
37,1,B3LYP,6-31+G*,6,8,67.987,69.701,58.632,60.346,4.808,6.393,4.662,6.247
38,1,B3LYP,6-31+G*,6,10,67.987,69.701,58.632,60.346,4.77,6.31,4.624,6.164
39,1,B3LYP,6-31+G*,6,12,67.987,69.701,58.632,60.346,4.419,6.304,4.273,6.158
40,2,B3LYP,6-31+G*,1,1,66.738,66.738,56.965,56.965,7.286,7.286,7.19,7.19
41,2,B3LYP,6-31+G*,1,2,66.738,66.738,56.965,56.965,6.386,6.848,6.29,6.752
42,2,B3LYP,6-31+G*,1,3,66.738,66.738,56.965,56.965,5.62,5.632,5.524,5.536
43,2,B3LYP,6-31+G*,1,4,66.738,66.738,56.965,56.965,5.527,6.44,5.431,6.344
44,2,B3LYP,6-31+G*,1,6,66.738,66.738,56.965,56.965,4.595,5.266,4.499,5.17
45,2,B3LYP,6-31+G*,1,8,66.738,66.738,56.965,56.965,4.756,6.341,4.66,6.245
46,2,B3LYP,6-31+G*,1,10,66.738,66.738,56.965,56.965,4.718,6.258,4.622,6.162
47,2,B3LYP,6-31+G*,1,12,66.738,66.738,56.965,56.965,4.367,6.252,4.271,6.156
48,2,B3LYP,6-31+G*,2,1,67.068,67.219,57.295,57.446,7.286,7.286,7.19,7.19
49,2,B3LYP,6-31+G*,2,2,67.068,67.219,57.295,57.446,6.386,6.848,6.29,6.752
50,2,B3LYP,6-31+G*,2,3,67.068,67.219,57.295,57.446,5.62,5.632,5.524,5.536
51,2,B3LYP,6-31+G*,2,4,67.068,67.219,57.295,57.446,5.527,6.44,5.431,6.344
52,2,B3LYP,6-31+G*,2,6,67.068,67.219,57.295,57.446,4.595,5.266,4.499,5.17
53,2,B3LYP,6-31+G*,2,8,67.068,67.219,57.295,57.446,4.756,6.341,4.66,6.245
54,2,B3LYP,6-31+G*,2,10,67.068,67.219,57.295,57.446,4.718,6.258,4.622,6.162
55,2,B3LYP,6-31+G*,2,12,67.068,67.219,57.295,57.446,4.367,6.252,4.271,6.156
56,2,B3LYP,6-31+G*,3,1,66.942,67.711,57.169,57.938,7.286,7.286,7.19,7.19
57,2,B3LYP,6-31+G*,3,2,66.942,67.711,57.169,57.938,6.386,6.848,6.29,6.752
58,2,B3LYP,6-31+G*,3,3,66.942,67.711,57.169,57.938,5.62,5.632,5.524,5.536
59,2,B3LYP,6-31+G*,3,4,66.942,67.711,57.169,57.938,5.527,6.44,5.431,6.344
60,2,B3LYP,6-31+G*,3,6,66.942,67.711,57.169,57.938,4.595,5.266,4.499,5.17
61,2,B3LYP,6-31+G*,3,8,66.942,67.711,57.169,57.938,4.756,6.341,4.66,6.245
62,2,B3LYP,6-31+G*,3,10,66.942,67.711,57.169,57.938,4.718,6.258,4.622,6.162
63,2,B3LYP,6-31+G*,3,12,66.942,67.711,57.169,57.938,4.367,6.252,4.271,6.156
64,2,B3LYP,6-31+G*,4,1,67.555,68.935,57.782,59.162,7.286,7.286,7.19,7.19
65,2,B3LYP,6-31+G*,4,2,67.555,68.935,57.782,59.162,6.386,6.848,6.29,6.752
66,2,B3LYP,6-31+G*,4,3,67.555,68.935,57.782,59.162,5.62,5.632,5.524,5.536
67,2,B3LYP,6-31+G*,4,4,67.555,68.935,57.782,59.162,5.527,6.44,5.431,6.344
68,2,B3LYP,6-31+G*,4,6,67.555,68.935,57.782,59.162,4.595,5.266,4.499,5.17
69,2,B3LYP,6-31+G*,4,8,67.555,68.935,57.782,59.162,4.756,6.341,4.66,6.245
70,2,B3LYP,6-31+G*,4,10,67.555,68.935,57.782,59.162,4.718,6.258,4.622,6.162
71,2,B3LYP,6-31+G*,4,12,67.555,68.935,57.782,59.162,4.367,6.252,4.271,6.156
72,2,B3LYP,6-31+G*,6,1,67.852,69.566,58.079,59.793,7.286,7.286,7.19,7.19
73,2,B3LYP,6-31+G*,6,2,67.852,69.566,58.079,59.793,6.386,6.848,6.29,6.752
74,2,B3LYP,6-31+G*,6,3,67.852,69.566,58.079,59.793,5.62,5.632,5.524,5.536
75,2,B3LYP,6-31+G*,6,4,67.852,69.566,58.079,59.793,5.527,6.44,5.431,6.344
76,2,B3LYP,6-31+G*,6,6,67.852,69.566,58.079,59.793,4.595,5.266,4.499,5.17
77,2,B3LYP,6-31+G*,6,8,67.852,69.566,58.079,59.793,4.756,6.341,4.66,6.245
78,2,B3LYP,6-31+G*,6,10,67.852,69.566,58.079,59.793,4.718,6.258,4.622,6.162
79,2,B3LYP,6-31+G*,6,12,67.852,69.566,58.079,59.793,4.367,6.252,4.271,6.156
80,3,B3LYP,6-31+G*,1,1,66.334,66.334,55.988,55.988,7.413,7.413,7.234,7.234
81,3,B3LYP,6-31+G*,1,2,66.334,66.334,55.988,55.988,6.513,6.975,6.334,6.796
82,3,B3LYP,6-31+G*,1,3,66.334,66.334,55.988,55.988,5.747,5.759,5.568,5.58
83,3,B3LYP,6-31+G*,1,4,66.334,66.334,55.988,55.988,5.654,6.567,5.475,6.388
84,3,B3LYP,6-31+G*,1,6,66.334,66.334,55.988,55.988,4.722,5.393,4.543,5.214
