,configuration,functional,basis,25mg,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max,wall time (hr)
0,1,wB97X,Def2TZVP,0.283,71.1,71.159,60.427,60.485,4.393,5.138,4.152,4.898,30.84
1,2,wB97X,Def2TZVP,-4.649,70.925,70.984,60.121,60.179,4.358,5.104,4.154,4.899,24.522
2,3,wB97X,Def2TZVP,2.784,70.875,70.933,60.627,60.685,4.405,5.15,4.24,4.985,20.216
3,4,wB97X,Def2TZVP,-3.982,72.167,72.225,60.82,60.878,4.516,5.261,4.287,5.033,1.784
4,5,wB97X,Def2TZVP,-6.196,70.292,70.35,60.325,60.383,4.259,5.005,4.071,4.816,20.515
5,6,wB97X,Def2TZVP,-5.815,71.596,71.655,60.445,60.503,4.363,5.108,4.215,4.96,33.056
6,1,M062X,Def2TZVP,1.988,68.989,69.483,58.229,58.723,4.296,6.18,4.07,5.953,8.894
7,2,M062X,Def2TZVP,-2.257,69.284,69.778,57.986,58.48,4.243,6.127,4.093,5.976,25.321
8,3,M062X,Def2TZVP,6.63,69.022,69.516,58.596,59.09,4.277,6.16,4.191,6.074,18.594
9,4,M062X,Def2TZVP,-4.825,70.886,71.38,58.948,59.442,4.454,6.337,4.241,6.125,3.252
10,5,M062X,Def2TZVP,-7.01,68.568,69.061,58.723,59.217,4.098,5.981,4.051,5.935,22.114
11,6,M062X,Def2TZVP,-0.068,69.596,70.09,57.862,58.356,4.304,6.187,4.136,6.019,19.195
